UMAP_1,UMAP_2,kmeans_cluster
2.8748634,-4.990559,2
19.4433,4.580176,0
8.492636,-5.737968,2
-0.39076465,6.399872,1
2.7131507,-5.285938,2
17.93793,5.3358717,0
2.8433712,-4.606001,2
6.265092,7.8639073,5
17.681719,3.0588167,0
2.6250587,-5.217747,2
2.470156,-3.7281616,2
9.574885,7.571738,5
19.253038,4.825671,0
-0.06292695,6.7030973,1
0.4164021,-1.8231126,2
2.4473379,-5.642862,2
0.5058038,-2.1367528,2
2.1140509,-5.049717,2
2.6259165,6.6982474,1
8.672678,-6.0114026,2
7.9131303,-5.884833,2
10.4783125,0.64491254,4
2.0637152,-5.058323,2
0.4498798,-2.0515578,2
15.325948,5.6865172,0
12.828967,-2.279064,4
0.55216664,-1.8354077,2
6.76137,0.29777938,2
9.601541,7.5936246,5
17.716381,4.1646967,0
8.934988,-5.457925,2
6.744854,-0.45838514,2
2.0093892,-5.147293,2
2.6237593,-5.3920827,2
10.543674,0.56495374,4
9.673772,6.334915,5
2.741162,6.740848,1
6.3833466,0.17401063,2
2.1727788,-4.973826,2
3.4089162,-5.350626,2
17.725166,3.0067928,0
14.90552,6.8226647,0
13.086757,-2.1128757,4
18.280151,6.781263,0
17.641693,2.8371797,0
1.7108713,-5.496675,2
2.9820735,-4.996177,2
1.1857039,7.8093896,1
12.540851,-2.3016922,4
12.963869,-2.1474414,4
18.324572,6.767293,0
10.409656,0.4765657,4
1.7032377,-5.509407,2
13.008347,-2.205893,4
6.5571113,7.381445,5
2.0163362,-5.386981,2
2.2902448,-5.064333,2
6.800823,-0.52142,2
13.0291395,-2.2979355,4
1.0991488,9.190345,1
1.7647138,-5.4486313,2
2.1745033,-4.935487,2
2.8736634,-6.2493935,2
6.82282,-0.5278425,2
2.548081,-5.229402,2
8.706221,-5.754152,2
8.510741,-5.769344,2
2.459268,-3.7377295,2
12.991248,-2.304286,4
0.52109265,-1.3491029,2
2.3069985,-5.599375,2
2.737383,6.7843423,1
2.9786425,-6.0727353,2
2.4692304,-3.810812,2
6.550487,0.4864238,2
3.5142608,-5.451911,2
2.117434,-4.9688354,2
2.4769673,-3.8114755,2
10.326236,0.4878285,4
12.890505,-2.5197878,4
3.348684,-5.5108294,2
2.6987596,-5.2681108,2
12.341028,-2.4605455,4
0.41982102,-2.0850604,2
2.8134356,-5.119565,2
1.1755129,9.447633,1
2.551566,6.688268,1
2.366913,-5.439908,2
17.70243,3.013376,0
2.5233283,-3.668328,2
6.213071,6.9248505,5
6.6499667,0.5495366,2
6.564834,0.47411796,2
2.4917588,-5.180263,2
2.4530256,-5.8225307,2
2.8802907,-5.617462,2
2.6958728,-4.980926,2
0.6576474,-2.0250704,2
6.43388,0.30877268,2
2.7474902,-5.767803,2
2.5332563,-5.6198626,2
0.6218388,-1.9534554,2
8.366725,-6.0424814,2
6.259369,0.1828942,2
0.09741639,6.433223,1
18.273293,6.6194534,0
10.643253,0.67892456,4
2.94254,-4.625088,2
0.62362975,-2.150049,2
0.5005236,-2.1387923,2
2.5960138,-5.5567484,2
1.8581768,-5.4206705,2
13.235548,-2.4282439,4
2.7973413,-6.2790184,2
15.981898,7.0337152,0
0.48998827,-2.2235608,2
6.7842283,-0.50454855,2
2.5704968,-5.3130646,2
0.45445216,-1.9895263,2
2.2143242,-5.0510526,2
11.910704,-1.5192747,4
2.830253,-5.9988937,2
3.2133424,-4.767964,2
19.262163,4.78622,0
0.53745586,-2.1617131,2
11.901675,-1.4983411,4
2.3105242,-4.9907975,2
1.7854348,-5.4127812,2
2.8217728,-4.6678753,2
9.060762,7.1493373,5
2.8206167,-6.247453,2
8.547651,-5.970279,2
0.5412521,-2.07362,2
1.1342611,7.7899528,1
1.1249173,7.780187,1
2.7643387,6.868064,1
19.234999,4.7831173,0
2.3896673,-5.5078926,2
9.033846,-5.523178,2
6.680513,0.29224002,2
15.348891,5.6756706,0
6.3023324,0.17910033,2
8.661268,-5.986519,2
2.4971147,-3.6318412,2
10.404535,0.5178753,4
1.1083858,7.5994873,1
6.638619,0.386859,2
8.698537,-5.993084,2
2.8030033,-5.916819,2
2.5863862,-4.970831,2
1.3041204,7.7110972,1
8.698756,-6.0282087,2
8.715957,-5.995888,2
6.6575456,0.5617353,2
8.957893,-5.607957,2
6.686645,0.56141466,2
17.643753,5.1572194,0
17.727016,3.1571503,0
2.616399,-3.5812676,2
-0.2187197,7.103041,1
2.6670845,-5.340017,2
0.31378445,-1.7069281,2
1.122819,7.8183274,1
13.230133,-2.6524959,4
